fips,num_beds,num_icu,bed_util
19105,22,4,0.229016
19107,25,4,0.200657
19109,25,4,0.400913
19111,121,12,0.127367
19113,994,36,0.507487
19117,25,4,0.115397
19119,25,2,0.11131
19121,25,4,0.172712
19123,33,4,0.41874
19125,50,7,0.375288
19127,125,7,0.304823
19131,25,4,0.181479
19133,25,4,0.268384
19135,25,4,0.131507
19137,25,8,0.465205
19139,48,5,0.223135
19141,39,6,0.212773
19143,25,4,0.11463
19145,50,6,0.1961095
19147,47,4,0.193036
19149,25,4,0.22674
19151,25,4,0.129534
19153,1540,100,0.66156175
19155,514,29,0.469999
19157,49,5,0.234219
19159,16,3,0.180479
19161,25,4,0.08317808
19163,641,39,0.468534
19165,25,4,0.359671
19167,96,15,0.219814
19169,237,17,0.4344755
19175,25,4,0.375781
19177,25,4,0.089096
19179,217,11,0.222042
19183,25,4,0.290301
19185,25,4,0.274082
19187,200,8,0.678976
19191,25,4,0.363945
19193,830,34,0.650309
19197,47,8,0.2414795
20001,25,4,0.349918
20003,12,2,0.389726
20005,25,4,0.390137
20007,35,6,0.5427895
20009,81,11,0.337424667
20013,25,4,0.350904
20015,126,16,0.4086265
20019,25,3,0.09863
20021,61,8,0.1835387
20023,16,3,0.197603
20025,43,6,0.4644072
20027,25,3,0.631587
20029,25,4,0.213076
20031,25,4,0.183342
20033,12,2,0.208904
20035,74,4,0.3770935
20037,100,16,0.257493
20039,18,4,0.154338
20041,50,6,0.3714635
20045,148,10,0.456961
20047,12,2,0.44452
20051,194,34,0.370157
20053,20,3,0.274886
20055,100,8,0.413729
20057,99,10,0.18863
20059,44,5,0.23883
20061,92,6,0.160414
20063,21,4,0.236921
20065,20,3,0.200548
20067,26,5,0.241939
20071,18,3,0.260731
20073,25,4,0.294795
20075,25,4,0.231014
20077,12,4,0.463233
20079,103,6,0.333765
20081,13,2,0.178925
20083,50,4,0.579366
20085,12,2,0.321005
20087,25,4,0.084384
20089,25,4,0.760616
20091,1567,234,0.419113141
20093,25,4,0.219945
20095,25,4,0.184548
20097,15,3,0.4153425
20099,99,5,0.320136
20101,25,4,0.620712
20103,100,10,0.422437
20105,14,2,0.449315
20109,25,4,0.185425
20111,25,6,0.858186
20113,95,15,0.197210333
20115,25,5,0.2413695
20117,25,4,0.441453
20119,20,3,0.105343
20121,39,3,0.147641
20123,25,4,1
20125,47,7,0.227456
20127,25,4,0.147507
20129,28,5,0.087566
20131,49,7,0.2456585
20133,25,5,0.663636
20135,50,6,0.3089285
20137,25,4,0.127562
20141,25,4,0.158904
20143,25,4,0.512877
20145,25,4,0.2332503
20147,25,4,0.28
20149,50,7,0.2682125
20151,35,6,0.351311
20153,24,3,0.237991
